exporter,importer,tonnes,year,yearly_share,total_source_1,exp_ISO3,imp_ISO3
Austria,Belgium,59628.526650595915,2008,4.6089762297980204e-05,1293747758.2350001,AUT,BEL
Belgium,Belgium,129191.03451484669,2008,9.98579774863502e-05,1293747758.2350001,BEL,BEL
Brazil,Belgium,178152.8573474934,2008,0.00013770293027640803,1293747758.2350001,BRA,BEL
Canada,Belgium,142758.9474642103,2008,0.0001103452713680213,1293747758.2350001,CAN,BEL
China,Belgium,5139971.927793326,2008,0.003972932045737842,1293747758.2350001,CHN,BEL
Czech Republic,Belgium,62428.45927348057,2008,4.825396517683541e-05,1293747758.2350001,CZE,BEL
Finland,Belgium,32234.9867608634,2008,2.4915974969371226e-05,1293747758.2350001,FIN,BEL
France,Belgium,188719.90527312236,2008,0.00014587071094181772,1293747758.2350001,FRA,BEL
Germany,Belgium,445384.091109326,2008,0.0003442588311936036,1293747758.2350001,DEU,BEL
Greece,Belgium,48653.63565013861,2008,3.760674006230898e-05,1293747758.2350001,GRC,BEL
India,Belgium,387101.6182709362,2008,0.0002992094987658498,1293747758.2350001,IND,BEL
Indonesia,Belgium,77635.37942518895,2008,6.000812672410214e-05,1293747758.2350001,IDN,BEL
Italy,Belgium,315005.3189790955,2008,0.0002434827940562715,1293747758.2350001,ITA,BEL
Japan,Belgium,1063943.9831319724,2008,0.0008223735858552997,1293747758.2350001,JPN,BEL
Mexico,Belgium,161764.0638101667,2008,0.00012503524182399658,1293747758.2350001,MEX,BEL
Netherlands,Belgium,96595.59269757745,2008,7.466338943022272e-05,1293747758.2350001,NLD,BEL
Poland,Belgium,108275.55979025134,2008,8.369139896170073e-05,1293747758.2350001,POL,BEL
RoW Africa,Belgium,202609.3604830169,2008,0.0001566065403347461,1293747758.2350001,RoW Africa,BEL
RoW America,Belgium,214008.52280484114,2008,0.00016541750232425755,1293747758.2350001,RoW America,BEL
RoW Asia and Pacific,Belgium,362950.7213365501,2008,0.00028054210647035776,1293747758.2350001,RoW Asia and Pacific,BEL
RoW EU27,Belgium,184936.12055857448,2008,0.00014294604136039178,1293747758.2350001,RoW EU27,BEL
RoW Europe,Belgium,269762.98441345507,2008,0.00020851281302429472,1293747758.2350001,RoW Europe,BEL
RoW Middle East,Belgium,511599.39626130584,2008,0.00039543983207302873,1293747758.2350001,RoW Middle East,BEL
Russia,Belgium,308605.5775951356,2008,0.00023853612547793075,1293747758.2350001,RUS,BEL
Slovakia,Belgium,44378.79822182752,2008,3.430251217004731e-05,1293747758.2350001,SVK,BEL
South Korea,Belgium,559280.3860807559,2008,0.00043229476729200755,1293747758.2350001,KOR,BEL
Spain,Belgium,197662.86166781635,2008,0.00015278315298298842,1293747758.2350001,ESP,BEL
Sweden,Belgium,59601.732462598724,2008,4.6069051778617644e-05,1293747758.2350001,SWE,BEL
Taiwan,Belgium,137505.28185448542,2008,0.00010628445999556936,1293747758.2350001,TWN,BEL
United Kingdom,Belgium,122416.23452174861,2008,9.462140803146619e-05,1293747758.2350001,GBR,BEL
United States,Belgium,834617.9961430876,2008,0.000645116477173045,1293747758.2350001,USA,BEL
Australia,Brazil,117985.66187798607,2008,9.119680488486289e-05,1293747758.2350001,AUS,BRA
Austria,Brazil,87028.5730142955,2008,6.726857879392543e-05,1293747758.2350001,AUT,BRA
Belgium,Brazil,188555.9229218492,2008,0.0001457439610786938,1293747758.2350001,BEL,BRA
Brazil,Brazil,260016.31041992575,2008,0.00020097913891240586,1293747758.2350001,BRA,BRA
Canada,Brazil,208358.46047255286,2008,0.00016105029681891516,1293747758.2350001,CAN,BRA
China,Brazil,7501852.775546958,2008,0.005798543593831139,1293747758.2350001,CHN,BRA
Czech Republic,Brazil,91115.11284590853,2008,7.04272623978979e-05,1293747758.2350001,CZE,BRA
Finland,Brazil,47047.35889294365,2008,3.6365171335352246e-05,1293747758.2350001,FIN,BRA
France,Brazil,275439.0426302003,2008,0.00021290011200171582,1293747758.2350001,FRA,BRA
Germany,Brazil,650043.6031247576,2008,0.0005024500324635012,1293747758.2350001,DEU,BRA
Greece,Brazil,71010.58246798646,2008,5.488750184569432e-05,1293747758.2350001,GRC,BRA
India,Brazil,564979.6131070148,2008,0.0004366999745590208,1293747758.2350001,IND,BRA
Indonesia,Brazil,113309.7999674911,2008,8.758260584124558e-05,1293747758.2350001,IDN,BRA
Italy,Brazil,459754.1670664203,2008,0.000355366155527598,1293747758.2350001,ITA,BRA
Japan,Brazil,1552839.440638128,2008,0.001200264449351854,1293747758.2350001,JPN,BRA
Mexico,Brazil,236096.6574117897,2008,0.00018249048619329425,1293747758.2350001,MEX,BRA
Netherlands,Brazil,140982.46398904122,2008,0.00010897214166490772,1293747758.2350001,NLD,BRA
Poland,Brazil,158029.5218192588,2008,0.0001221486343171339,1293747758.2350001,POL,BRA
RoW Africa,Brazil,295710.8746214839,2008,0.00022856918803469732,1293747758.2350001,RoW Africa,BRA
RoW America,Brazil,312348.09661916364,2008,0.00024142889881817892,1293747758.2350001,RoW America,BRA
RoW Asia and Pacific,Brazil,529731.0785000068,2008,0.0004094546832086451,1293747758.2350001,RoW Asia and Pacific,BRA
RoW EU27,Brazil,269916.5588072938,2008,0.00020863151807546195,1293747758.2350001,RoW EU27,BRA
RoW Europe,Brazil,393722.4237104375,2008,0.00030432703840783823,1293747758.2350001,RoW Europe,BRA
RoW Middle East,Brazil,746685.6654915722,2008,0.00057714934054088,1293747758.2350001,RoW Middle East,BRA
Russia,Brazil,450413.6675132517,2008,0.0003481464332179637,1293747758.2350001,RUS,BRA
Slovakia,Brazil,64771.408136695274,2008,5.006494328157128e-05,1293747758.2350001,SVK,BRA
South Korea,Brazil,816276.6541851346,2008,0.0006309395699349793,1293747758.2350001,KOR,BRA
Spain,Brazil,288491.4015496258,2008,0.00022298890932433474,1293747758.2350001,ESP,BRA
Sweden,Brazil,86989.47414767055,2008,6.723835739537531e-05,1293747758.2350001,SWE,BRA
Taiwan,Brazil,200690.65893204007,2008,0.00015512348342603739,1293747758.2350001,TWN,BRA
United Kingdom,Brazil,178668.0152268024,2008,0.0001381011206315448,1293747758.2350001,GBR,BRA
United States,Brazil,1218135.315550302,2008,0.0009415554985866388,1293747758.2350001,USA,BRA
Australia,Canada,95709.86591625877,2008,7.39787685095828e-05,1293747758.2350001,AUS,CAN
Austria,Canada,70597.4994007474,2008,5.456821003273488e-05,1293747758.2350001,AUT,CAN
Belgium,Canada,152956.39285527312,2008,0.00011822736841990312,1293747758.2350001,BEL,CAN
Brazil,Canada,210924.99434985706,2008,0.00016303409455766882,1293747758.2350001,BRA,CAN
Canada,Canada,169020.19281977092,2008,0.00013064385367543154,1293747758.2350001,CAN,CAN
China,Canada,6085496.218014994,2008,0.004703773343203433,1293747758.2350001,CHN,CAN
Czech Republic,Canada,73912.49386642496,2008,5.713052903547469e-05,1293747758.2350001,CZE,CAN
Finland,Canada,38164.773453195,2008,2.9499392915092985e-05,1293747758.2350001,FIN,CAN
France,Canada,223435.90539368603,2008,0.00017270438071986246,1293747758.2350001,FRA,CAN
Germany,Canada,527314.7877498885,2008,0.00040758701562449817,1293747758.2350001,DEU,CAN
Greece,Canada,57603.716753872155,2008,4.452468913450194e-05,1293747758.2350001,GRC,CAN
India,Canada,458310.95431131317,2008,0.0003542506268274161,1293747758.2350001,IND,CAN
Indonesia,Canada,91916.80767562309,2008,7.104693097286669e-05,1293747758.2350001,IDN,CAN
Italy,Canada,372952.1682027785,2008,0.0002882727068154149,1293747758.2350001,ITA,CAN
Japan,Canada,1259661.9552913224,2008,0.0009736534399949962,1293747758.2350001,JPN,CAN
Mexico,Canada,191521.39248711176,2008,0.00014803611543906788,1293747758.2350001,MEX,CAN
Netherlands,Canada,114364.84512900983,2008,8.839810109895956e-05,1293747758.2350001,NLD,CAN
Poland,Canada,128193.40718540263,2008,9.908686323854267e-05,1293747758.2350001,POL,CAN
RoW Africa,Canada,239880.4001103618,2008,0.00018541512329854737,1293747758.2350001,RoW Africa,CAN
RoW America,Canada,253376.49575251515,2008,0.00019584690612193596,1293747758.2350001,RoW America,CAN
RoW Asia and Pacific,Canada,429717.37212756905,2008,0.0003321492689686376,1293747758.2350001,RoW Asia and Pacific,CAN
RoW EU27,Canada,218956.0660171545,2008,0.00016924169694088287,1293747758.2350001,RoW EU27,CAN
RoW Europe,Canada,319387.2731365728,2008,0.0002468698176314508,1293747758.2350001,RoW Europe,CAN
RoW Middle East,Canada,605710.7403690462,2008,0.0004681830260292696,1293747758.2350001,RoW Middle East,CAN
Russia,Canada,365375.15718369174,2008,0.00028241606979258156,1293747758.2350001,RUS,CAN
Slovakia,Canada,52542.508322449736,2008,4.061263719144993e-05,1293747758.2350001,SVK,CAN
South Korea,Canada,662162.8892604178,2008,0.0005118176128581477,1293747758.2350001,KOR,CAN
Spain,Canada,234023.96730949834,2008,0.00018088840411114324,1293747758.2350001,ESP,CAN
Sweden,Canada,70565.7833412991,2008,5.45436951616973e-05,1293747758.2350001,SWE,CAN
Taiwan,Canada,162800.08173692934,2008,0.0001258360300148693,1293747758.2350001,TWN,CAN
United Kingdom,Canada,144935.3329947811,2008,0.00011202750464473048,1293747758.2350001,GBR,CAN
United States,Canada,988150.2719672681,2008,0.0007637889732967387,1293747758.2350001,USA,CAN
Australia,China,3235697.006277049,2008,0.0025010261742917797,1293747758.2350001,AUS,CHN
Austria,China,2386714.5223016483,2008,0.0018448066921157272,1293747758.2350001,AUT,CHN
Belgium,China,5171050.586881858,2008,0.003996954239315152,1293747758.2350001,BEL,CHN
Brazil,China,7130815.485441357,2008,0.005511750988592704,1293747758.2350001,BRA,CHN
Canada,China,5714125.140993059,2008,0.004416722737969087,1293747758.2350001,CAN,CHN
China,China,205734510.67189977,2008,0.15902211954560122,1293747758.2350001,CHN,CHN
Czech Republic,China,2498785.721313906,2008,0.0019314319235790467,1293747758.2350001,CZE,CHN
Finland,China,1290249.9698212857,2008,0.000997296390744293,1293747758.2350001,FIN,CHN
France,China,7553776.232486503,2008,0.005838677736370936,1293747758.2350001,FRA,CHN
Germany,China,17827116.413147215,2008,0.013779437529204241,1293747758.2350001,DEU,CHN
Greece,China,1947429.200137047,2008,0.0015052618933955365,1293747758.2350001,GRC,CHN
India,China,15494279.546833362,2008,0.011976275474263613,1293747758.2350001,IND,CHN
Indonesia,China,3107463.88799223,2008,0.0024019086164304535,1293747758.2350001,IDN,CHN
Italy,China,12608525.109782265,2008,0.00974573677869285,1293747758.2350001,ITA,CHN
Japan,China,42585834.664410256,2008,0.032916644217036654,1293747758.2350001,JPN,CHN
Mexico,China,6474831.159465995,2008,0.005004709085099638,1293747758.2350001,MEX,CHN
Netherlands,China,3866372.6130774114,2008,0.002988505748873431,1293747758.2350001,NLD,CHN
Poland,China,4333879.604012521,2008,0.003349864435649366,1293747758.2350001,POL,CHN
RoW Africa,China,8109720.95824377,2008,0.006268394211022622,1293747758.2350001,RoW Africa,CHN
RoW America,China,8565988.273498917,2008,0.006621065210721676,1293747758.2350001,RoW America,CHN
RoW Asia and Pacific,China,14527606.371136952,2008,0.011229087183854363,1293747758.2350001,RoW Asia and Pacific,CHN
RoW EU27,China,7402324.82187305,2008,0.005721613641264737,1293747758.2350001,RoW EU27,CHN
RoW Europe,China,10797637.879217925,2008,0.008346014754799375,1293747758.2350001,RoW Europe,CHN
RoW Middle East,China,20477475.98563035,2008,0.015828028188096584,1293747758.2350001,RoW Middle East,CHN
Russia,China,12352366.514187451,2008,0.0095477394535077,1293747758.2350001,RUS,CHN
Slovakia,China,1776322.980143809,2008,0.0013730056487728055,1293747758.2350001,SVK,CHN
South Korea,China,22385973.60274896,2008,0.017303197984504415,1293747758.2350001,KOR,CHN
Spain,China,7911730.492010343,2008,0.006115357836680582,1293747758.2350001,ESP,CHN
Sweden,China,2385642.166558099,2008,0.001843977816674805,1293747758.2350001,SWE,CHN
Taiwan,China,5503839.641799473,2008,0.004254182940040882,1293747758.2350001,TWN,CHN
United Kingdom,China,4899879.815183179,2008,0.0037873532796438287,1293747758.2350001,GBR,CHN
United States,China,33406743.80392856,2008,0.02582168246575656,1293747758.2350001,USA,CHN
Australia,Czech Republic,40094.75329253351,2008,3.099116735648139e-05,1293747758.2350001,AUS,CZE
Austria,Czech Republic,29574.685230133495,2008,2.285969969175511e-05,1293747758.2350001,AUT,CZE
Belgium,Czech Republic,64076.45189236473,2008,4.95277781039646e-05,1293747758.2350001,BEL,CZE
Brazil,Czech Republic,88360.64751112396,2008,6.829820337750404e-05,1293747758.2350001,BRA,CZE
Canada,Czech Republic,70805.89864072562,2008,5.4729291849999263e-05,1293747758.2350001,CAN,CZE
China,Czech Republic,2549334.52356629,2008,0.0019705035292538232,1293747758.2350001,CHN,CZE
Czech Republic,Czech Republic,30963.40326462539,2008,2.393310679576931e-05,1293747758.2350001,CZE,CZE
Finland,Czech Republic,15987.979135021855,2008,1.2357879681919998e-05,1293747758.2350001,FIN,CZE
France,Czech Republic,93601.71433039049,2008,7.234927653755857e-05,1293747758.2350001,FRA,CZE
Germany,Czech Republic,220902.57614182992,2008,0.0001707462484365554,1293747758.2350001,DEU,CZE
Greece,Czech Republic,24131.335496509102,2008,1.8652272317310415e-05,1293747758.2350001,GRC,CZE
India,Czech Republic,191995.50676034443,2008,0.0001484025812127976,1293747758.2350001,IND,CZE
Indonesia,Czech Republic,38505.76911052224,2008,2.976296489437313e-05,1293747758.2350001,IDN,CZE
Italy,Czech Republic,156237.03025730912,2008,0.00012076313119216997,1293747758.2350001,ITA,CZE
Japan,Czech Republic,527697.2651798968,2008,0.0004078826508652735,1293747758.2350001,JPN,CZE
Mexico,Czech Republic,80232.09277768356,2008,6.201525163385826e-05,1293747758.2350001,MEX,CZE
Netherlands,Czech Republic,47909.69478030511,2008,3.703171230662929e-05,1293747758.2350001,NLD,CZE
Poland,Czech Republic,53702.749482812294,2008,4.150944350703761e-05,1293747758.2350001,POL,CZE
RoW Africa,Czech Republic,100490.6357160492,2008,7.767405591731722e-05,1293747758.2350001,RoW Africa,CZE
RoW America,Czech Republic,106144.41946333708,2008,8.204413788368219e-05,1293747758.2350001,RoW America,CZE
RoW Asia and Pacific,Czech Republic,180017.0941892662,2008,0.0001391438887862153,1293747758.2350001,RoW Asia and Pacific,CZE
RoW EU27,Czech Republic,91725.02275293348,2008,7.089869116223217e-05,1293747758.2350001,RoW EU27,CZE
RoW Europe,Czech Republic,133797.6360903731,2008,0.00010341864187877472,1293747758.2350001,RoW Europe,CZE
RoW Middle East,Czech Republic,253744.1895613235,2008,0.00019613111438932646,1293747758.2350001,RoW Middle East,CZE
Russia,Czech Republic,153062.86734023778,2008,0.00011830966768132168,1293747758.2350001,RUS,CZE
Slovakia,Czech Republic,22011.09531417434,2008,1.7013436486416063e-05,1293747758.2350001,SVK,CZE
South Korea,Czech Republic,277393.10962823784,2008,0.00021441050456904548,1293747758.2350001,KOR,CZE
Spain,Czech Republic,98037.26286614445,2008,7.577772579091625e-05,1293747758.2350001,ESP,CZE
Sweden,Czech Republic,29561.39617721553,2008,2.2849427942232548e-05,1293747758.2350001,SWE,CZE
Taiwan,Czech Republic,68200.16986028031,2008,5.271519848144327e-05,1293747758.2350001,TWN,CZE
United Kingdom,Czech Republic,60716.27224585316,2008,4.6930533297066765e-05,1293747758.2350001,GBR,CZE
United States,Czech Republic,413955.66102680576,2008,0.00031996628275634365,1293747758.2350001,USA,CZE
Australia,Finland,21054.4575702663,2008,1.627400506493624e-05,1293747758.2350001,AUS,FIN
Austria,Finland,15530.1910695294,2008,1.2004033221063521e-05,1293747758.2350001,AUT,FIN
Belgium,Finland,33647.67190840924,2008,2.600790741026148e-05,1293747758.2350001,BEL,FIN
Brazil,Finland,46399.73064421299,2008,3.586458824671819e-05,1293747758.2350001,BRA,FIN
Canada,Finland,37181.425553241366,2008,2.8739315926596275e-05,1293747758.2350001,CAN,FIN
China,Finland,1338700.4522261391,2008,0.0010347461038714887,1293747758.2350001,CHN,FIN
Czech Republic,Finland,16259.42634783218,2008,1.2567694316250766e-05,1293747758.2350001,CZE,FIN
Finland,Finland,8395.566259662486,2008,6.489337822015759e-06,1293747758.2350001,FIN,FIN
France,Finland,49151.909109457476,2008,3.799187963541915e-05,1293747758.2350001,FRA,FIN
Germany,Finland,115999.8308022421,2008,8.96618603308695e-05,1293747758.2350001,DEU,FIN
Greece,Finland,12671.790215175044,2008,9.794637427980999e-06,1293747758.2350001,GRC,FIN
India,Finland,100820.22103480507,2008,7.792880829594589e-05,1293747758.2350001,IND,FIN
Indonesia,Finland,20220.056304530965,2008,1.562905610914159e-05,1293747758.2350001,IDN,FIN
Italy,Finland,82042.81327084907,2008,6.341484477837957e-05,1293747758.2350001,ITA,FIN
Japan,Finland,277103.1273678166,2008,0.000214186363303041,1293747758.2350001,JPN,FIN
Mexico,Finland,42131.28564650606,2008,3.256530137218078e-05,1293747758.2350001,MEX,FIN
Netherlands,Finland,25158.22395195818,2008,1.9446003899771293e-05,1293747758.2350001,NLD,FIN
Poland,Finland,28200.258629696556,2008,2.179733912595826e-05,1293747758.2350001,POL,FIN
RoW Africa,Finland,52769.4005940631,2008,4.078801316421521e-05,1293747758.2350001,RoW Africa,FIN
RoW America,Finland,55738.30346477688,2008,4.308282129185526e-05,1293747758.2350001,RoW America,FIN
RoW Asia and Pacific,Finland,94530.14734997081,2008,7.306690716815919e-05,1293747758.2350001,RoW Asia and Pacific,FIN
RoW EU27,Finland,48166.42439702019,2008,3.723015100156108e-05,1293747758.2350001,RoW EU27,FIN
RoW Europe,Finland,70259.49287998435,2008,5.430694850117932e-05,1293747758.2350001,RoW Europe,FIN
RoW Middle East,Finland,133245.5401660518,2008,0.0001029919003282622,1293747758.2350001,RoW Middle East,FIN
Russia,Finland,80376.00949937012,2008,6.212649180472658e-05,1293747758.2350001,RUS,FIN
Slovakia,Finland,11558.414874678556,2008,8.934055963464751e-06,1293747758.2350001,SVK,FIN
South Korea,Finland,145664.0040585517,2008,0.00011259072963131108,1293747758.2350001,KOR,FIN
Spain,Finland,51481.08873717362,2008,3.979221483437148e-05,1293747758.2350001,ESP,FIN
Sweden,Finland,15523.210415263999,2008,1.1998637536919555e-05,1293747758.2350001,SWE,FIN
Taiwan,Finland,35813.109276142495,2008,2.768167832422037e-05,1293747758.2350001,TWN,FIN
United Kingdom,Finland,31883.186995472766,2008,2.464405197421908e-05,1293747758.2350001,GBR,FIN
United States,Finland,217375.40700063424,2008,0.00016801992940044928,1293747758.2350001,USA,FIN
Australia,France,129893.65567362,2008,0.00010040106724577276,1293747758.2350001,AUS,FRA
Austria,France,95812.14480592549,2008,7.405782479317107e-05,1293747758.2350001,AUT,FRA
Belgium,France,207586.392908061,2008,0.0001604535285852487,1293747758.2350001,BEL,FRA
Brazil,France,286259.0987575447,2008,0.00022126345490103473,1293747758.2350001,BRA,FRA
Canada,France,229387.5523979992,2008,0.00017730469555436523,1293747758.2350001,CAN,FRA
China,France,8258995.7972559035,2008,0.0063837759290290615,1293747758.2350001,CHN,FRA
Czech Republic,France,100311.12546057605,2008,7.753530378860393e-05,1293747758.2350001,CZE,FRA
Finland,France,51795.72837310847,2008,4.0035414974377207e-05,1293747758.2350001,FIN,FRA
France,France,303238.4088279226,2008,0.0002343875820442902,1293747758.2350001,FRA,FRA
Germany,France,715650.8590772122,2008,0.0005531610428091032,1293747758.2350001,DEU,FRA
Greece,France,78177.49955639838,2008,6.042715750329284e-05,1293747758.2350001,GRC,FRA
India,France,622001.5766599316,2008,0.00048077499860444154,1293747758.2350001,IND,FRA
Indonesia,France,124745.87032291632,2008,9.642209582886644e-05,1293747758.2350001,IDN,FRA
Italy,France,506155.99250714114,2008,0.0003912323629435047,1293747758.2350001,ITA,FRA
Japan,France,1709563.5921143217,2008,0.001321404100012973,1293747758.2350001,JPN,FRA
Mexico,France,259925.29781405625,2008,0.00020090879088259078,1293747758.2350001,MEX,FRA
Netherlands,France,155211.46830623894,2008,0.00011997042492888004,1293747758.2350001,NLD,FRA
Poland,France,173979.04433185724,2008,0.00013447678902200284,1293747758.2350001,POL,FRA
RoW Africa,France,325556.2267677342,2008,0.0002516380992318591,1293747758.2350001,RoW Africa,FRA
RoW America,France,343872.5992314965,2008,0.0002657957063443541,1293747758.2350001,RoW America,FRA
RoW Asia and Pacific,France,583195.495361223,2008,0.0004507799079449997,1293747758.2350001,RoW Asia and Pacific,FRA
RoW EU27,France,297158.55307459057,2008,0.00022968816848810633,1293747758.2350001,RoW EU27,FRA
RoW Europe,France,433459.8311287744,2008,0.0003350419959143531,1293747758.2350001,RoW Europe,FRA
RoW Middle East,France,822046.7621625714,2008,0.000635399564505566,1293747758.2350001,RoW Middle East,FRA
Russia,France,495872.7745026196,2008,0.00038328396810450574,1293747758.2350001,RUS,FRA
Slovakia,France,71308.61979119723,2008,5.511786925797674e-05,1293747758.2350001,SVK,FRA
South Korea,France,898661.3934670605,2008,0.0006946187058078945,1293747758.2350001,KOR,FRA
Spain,France,317608.1066412346,2008,0.000245494614092729,1293747758.2350001,ESP,FRA
Sweden,France,95769.09643757515,2008,7.402455063437441e-05,1293747758.2350001,SWE,FRA
Taiwan,France,220945.85859918836,2008,0.00017077970353402932,1293747758.2350001,TWN,FRA
United Kingdom,France,196700.52775804602,2008,0.00015203931872036276,1293747758.2350001,GBR,FRA
