exporter,importer,tonnes,year,exp_ISO3,imp_ISO3
Netherlands,Greece,57241.98,2009,NLD,GRC
Poland,Greece,65584.3,2009,POL,GRC
RoW Africa,Greece,133117.57,2009,RoW Africa,GRC
RoW America,Greece,137807.03,2009,RoW America,GRC
RoW Asia and Pacific,Greece,225947.07,2009,RoW Asia and Pacific,GRC
RoW EU27,Greece,115748.3,2009,RoW EU27,GRC
RoW Europe,Greece,174326.79,2009,RoW Europe,GRC
RoW Middle East,Greece,333397.05,2009,RoW Middle East,GRC
Russia,Greece,182157.07,2009,RUS,GRC
Slovakia,Greece,26784.85,2009,SVK,GRC
South Korea,Greece,351758.02,2009,KOR,GRC
Spain,Greece,121489.0,2009,ESP,GRC
Sweden,Greece,34749.15,2009,SWE,GRC
Taiwan,Greece,92327.17,2009,TWN,GRC
United Kingdom,Greece,73853.19,2009,GBR,GRC
United States,Greece,523105.42,2009,USA,GRC
Australia,India,430936.08,2009,AUS,IND
Austria,India,302139.11,2009,AUT,IND
Belgium,India,645010.76,2009,BEL,IND
Brazil,India,933356.43,2009,BRA,IND
Canada,India,744733.45,2009,CAN,IND
China,India,27867259.26,2009,CHN,IND
Czech Republic,India,315432.8,2009,CZE,IND
Finland,India,161092.68,2009,FIN,IND
France,India,953152.92,2009,FRA,IND
Germany,India,2257861.06,2009,DEU,IND
Greece,India,258712.56,2009,GRC,IND
India,India,1955394.43,2009,IND,IND
Indonesia,India,432558.83,2009,IDN,IND
Italy,India,1613064.13,2009,ITA,IND
Japan,India,5427045.42,2009,JPN,IND
Mexico,India,845204.18,2009,MEX,IND
Netherlands,India,483815.79,2009,NLD,IND
Poland,India,554326.03,2009,POL,IND
RoW Africa,India,1125124.98,2009,RoW Africa,IND
RoW America,India,1164760.82,2009,RoW America,IND
RoW Asia and Pacific,India,1909730.49,2009,RoW Asia and Pacific,IND
RoW EU27,India,978317.86,2009,RoW EU27,IND
RoW Europe,India,1473429.96,2009,RoW Europe,IND
RoW Middle East,India,2817910.02,2009,RoW Middle East,IND
Russia,India,1539612.4,2009,RUS,IND
Slovakia,India,226388.58,2009,SVK,IND
South Korea,India,2973099.09,2009,KOR,IND
Spain,India,1026838.96,2009,ESP,IND
Sweden,India,293703.79,2009,SWE,IND
Taiwan,India,780359.8,2009,TWN,IND
United Kingdom,India,624215.64,2009,GBR,IND
United States,India,4421346.93,2009,USA,IND
Australia,Indonesia,80236.03,2009,AUS,IDN
Austria,Indonesia,56255.31,2009,AUT,IDN
Belgium,Indonesia,120094.62,2009,BEL,IDN
Brazil,Indonesia,173781.72,2009,BRA,IDN
Canada,Indonesia,138661.99,2009,CAN,IDN
China,Indonesia,5188607.74,2009,CHN,IDN
Czech Republic,Indonesia,58730.46,2009,CZE,IDN
Finland,Indonesia,29993.86,2009,FIN,IDN
France,Indonesia,177467.64,2009,FRA,IDN
Germany,Indonesia,420391.37,2009,DEU,IDN
Greece,Indonesia,48169.72,2009,GRC,IDN
India,Indonesia,364075.08,2009,IND,IDN
Indonesia,Indonesia,80538.17,2009,IDN,IDN
Italy,Indonesia,300336.57,2009,ITA,IDN
Japan,Indonesia,1010462.12,2009,JPN,IDN
Mexico,Indonesia,157368.65,2009,MEX,IDN
Netherlands,Indonesia,90081.71,2009,NLD,IDN
Poland,Indonesia,103210.02,2009,POL,IDN
RoW Africa,Indonesia,209487.13,2009,RoW Africa,IDN
RoW America,Indonesia,216866.93,2009,RoW America,IDN
RoW Asia and Pacific,Indonesia,355572.91,2009,RoW Asia and Pacific,IDN
RoW EU27,Indonesia,182153.1,2009,RoW EU27,IDN
RoW Europe,Indonesia,274338.07,2009,RoW Europe,IDN
RoW Middle East,Indonesia,524666.94,2009,RoW Middle East,IDN
Russia,Indonesia,286660.58,2009,RUS,IDN
Slovakia,Indonesia,42151.31,2009,SVK,IDN
South Korea,Indonesia,553561.61,2009,KOR,IDN
Spain,Indonesia,191187.25,2009,ESP,IDN
Sweden,Indonesia,54684.74,2009,SWE,IDN
Taiwan,Indonesia,145295.27,2009,TWN,IDN
United Kingdom,Indonesia,116222.77,2009,GBR,IDN
United States,Indonesia,823211.02,2009,USA,IDN
Australia,Italy,343844.06,2009,AUS,ITA
Austria,Italy,241076.91,2009,AUT,ITA
Belgium,Italy,514654.33,2009,BEL,ITA
Brazil,Italy,744725.44,2009,BRA,ITA
Canada,Italy,594223.1,2009,CAN,ITA
China,Italy,22235296.66,2009,CHN,ITA
Czech Republic,Italy,251683.95,2009,CZE,ITA
Finland,Italy,128535.91,2009,FIN,ITA
France,Italy,760521.07,2009,FRA,ITA
Germany,Italy,1801548.19,2009,DEU,ITA
Greece,Italy,206426.85,2009,GRC,ITA
India,Italy,1560209.95,2009,IND,ITA
Indonesia,Italy,345138.85,2009,IDN,ITA
Italy,Italy,1287064.47,2009,ITA,ITA
Japan,Italy,4330241.58,2009,JPN,ITA
Mexico,Italy,674388.73,2009,MEX,ITA
Netherlands,Italy,386036.8,2009,NLD,ITA
Poland,Italy,442296.95,2009,POL,ITA
RoW Africa,Italy,897737.64,2009,RoW Africa,ITA
RoW America,Italy,929363.09,2009,RoW America,ITA
RoW Asia and Pacific,Italy,1523774.68,2009,RoW Asia and Pacific,ITA
RoW EU27,Italy,780600.19,2009,RoW EU27,ITA
RoW Europe,Italy,1175650.32,2009,RoW Europe,ITA
RoW Middle East,Italy,2248411.47,2009,RoW Middle East,ITA
Russia,Italy,1228457.31,2009,RUS,ITA
Slovakia,Italy,180635.53,2009,SVK,ITA
South Korea,Italy,2372236.88,2009,KOR,ITA
Spain,Italy,819315.2,2009,ESP,ITA
Sweden,Italy,234346.36,2009,SWE,ITA
Taiwan,Italy,622649.38,2009,TWN,ITA
United Kingdom,Italy,498061.89,2009,GBR,ITA
United States,Italy,3527794.38,2009,USA,ITA
Australia,Japan,1144260.8,2009,AUS,JPN
Austria,Japan,802267.35,2009,AUT,JPN
Belgium,Japan,1712691.43,2009,BEL,JPN
Brazil,Japan,2478333.15,2009,BRA,JPN
Canada,Japan,1977484.21,2009,CAN,JPN
China,Japan,73995689.56,2009,CHN,JPN
Czech Republic,Japan,837565.95,2009,CZE,JPN
Finland,Japan,427747.98,2009,FIN,JPN
France,Japan,2530898.6,2009,FRA,JPN
Germany,Japan,5995278.71,2009,DEU,JPN
Greece,Japan,686957.19,2009,GRC,JPN
India,Japan,5192141.71,2009,IND,JPN
Indonesia,Japan,1148569.67,2009,IDN,JPN
Italy,Japan,4283155.05,2009,ITA,JPN
Japan,Japan,14410386.19,2009,JPN,JPN
Mexico,Japan,2244263.26,2009,MEX,JPN
Netherlands,Japan,1284671.82,2009,NLD,JPN
Poland,Japan,1471897.06,2009,POL,JPN
RoW Africa,Japan,2987534.51,2009,RoW Africa,JPN
RoW America,Japan,3092779.2,2009,RoW America,JPN
RoW Asia and Pacific,Japan,5070890.65,2009,RoW Asia and Pacific,JPN
RoW EU27,Japan,2597718.84,2009,RoW EU27,JPN
RoW Europe,Japan,3912385.68,2009,RoW Europe,JPN
RoW Middle East,Japan,7482371.81,2009,RoW Middle East,JPN
Russia,Japan,4088119.33,2009,RUS,JPN
Slovakia,Japan,601127.61,2009,SVK,JPN
South Korea,Japan,7894443.98,2009,KOR,JPN
Spain,Japan,2726556.51,2009,ESP,JPN
Sweden,Japan,779869.09,2009,SWE,JPN
Taiwan,Japan,2072082.54,2009,TWN,JPN
United Kingdom,Japan,1657474.33,2009,GBR,JPN
United States,Japan,11739963.8,2009,USA,JPN
Australia,Mexico,177089.94,2009,AUS,MEX
Austria,Mexico,124161.79,2009,AUT,MEX
Belgium,Mexico,265062.31,2009,BEL,MEX
Brazil,Mexico,383555.8,2009,BRA,MEX
Canada,Mexico,306042.6,2009,CAN,MEX
China,Mexico,11451840.34,2009,CHN,MEX
Czech Republic,Mexico,129624.73,2009,CZE,MEX
Finland,Mexico,66199.82,2009,FIN,MEX
France,Mexico,391691.01,2009,FRA,MEX
Germany,Mexico,927851.0,2009,DEU,MEX
Greece,Mexico,106315.98,2009,GRC,MEX
India,Mexico,803554.62,2009,IND,MEX
Indonesia,Mexico,177756.79,2009,IDN,MEX
Italy,Mexico,662876.56,2009,ITA,MEX
Japan,Mexico,2230203.45,2009,JPN,MEX
Mexico,Mexico,347330.29,2009,MEX,MEX
Netherlands,Mexico,198820.45,2009,NLD,MEX
Poland,Mexico,227796.11,2009,POL,MEX
RoW Africa,Mexico,462361.64,2009,RoW Africa,MEX
RoW America,Mexico,478649.69,2009,RoW America,MEX
RoW Asia and Pacific,Mexico,784789.36,2009,RoW Asia and Pacific,MEX
RoW EU27,Mexico,402032.36,2009,RoW EU27,MEX
RoW Europe,Mexico,605494.95,2009,RoW Europe,MEX
RoW Middle East,Mexico,1157998.9,2009,RoW Middle East,MEX
Russia,Mexico,632692.12,2009,RUS,MEX
Slovakia,Mexico,93032.68,2009,SVK,MEX
South Korea,Mexico,1221772.68,2009,KOR,MEX
Spain,Mexico,421971.74,2009,ESP,MEX
Sweden,Mexico,120695.36,2009,SWE,MEX
Taiwan,Mexico,320682.98,2009,TWN,MEX
United Kingdom,Mexico,256516.72,2009,GBR,MEX
United States,Mexico,1816919.23,2009,USA,MEX
Australia,Netherlands,105740.06,2009,AUS,NLD
Austria,Netherlands,74136.77,2009,AUT,NLD
Belgium,Netherlands,158268.2,2009,BEL,NLD
Brazil,Netherlands,229020.43,2009,BRA,NLD
Canada,Netherlands,182737.45,2009,CAN,NLD
China,Netherlands,6837871.85,2009,CHN,NLD
Czech Republic,Netherlands,77398.68,2009,CZE,NLD
Finland,Netherlands,39527.79,2009,FIN,NLD
France,Netherlands,233877.95,2009,FRA,NLD
Germany,Netherlands,554018.05,2009,DEU,NLD
Greece,Netherlands,63481.07,2009,GRC,NLD
India,Netherlands,479800.92,2009,IND,NLD
Indonesia,Netherlands,106138.24,2009,IDN,NLD
Italy,Netherlands,395802.32,2009,ITA,NLD
Japan,Netherlands,1331650.19,2009,JPN,NLD
Mexico,Netherlands,207390.25,2009,MEX,NLD
Netherlands,Netherlands,118715.31,2009,NLD,NLD
Poland,Netherlands,136016.62,2009,POL,NLD
RoW Africa,Netherlands,276075.24,2009,RoW Africa,NLD
RoW America,Netherlands,285800.81,2009,RoW America,NLD
RoW Asia and Pacific,Netherlands,468596.22,2009,RoW Asia and Pacific,NLD
RoW EU27,Netherlands,240052.75,2009,RoW EU27,NLD
RoW Europe,Netherlands,361539.87,2009,RoW Europe,NLD
RoW Middle East,Netherlands,691438.92,2009,RoW Middle East,NLD
Russia,Netherlands,377779.25,2009,RUS,NLD
Slovakia,Netherlands,55549.63,2009,SVK,NLD
South Korea,Netherlands,729518.12,2009,KOR,NLD
Spain,Netherlands,251958.51,2009,ESP,NLD
Sweden,Netherlands,72066.97,2009,SWE,NLD
Taiwan,Netherlands,191479.19,2009,TWN,NLD
United Kingdom,Netherlands,153165.64,2009,GBR,NLD
United States,Netherlands,1084878.98,2009,USA,NLD
Australia,Poland,117429.07,2009,AUS,POL
Austria,Poland,82332.2,2009,AUT,POL
Belgium,Poland,175763.92,2009,BEL,POL
Brazil,Poland,254337.44,2009,BRA,POL
Canada,Poland,202938.12,2009,CAN,POL
China,Poland,7593762.84,2009,CHN,POL
Czech Republic,Poland,85954.7,2009,CZE,POL
Finland,Poland,43897.38,2009,FIN,POL
France,Poland,259731.94,2009,FRA,POL
Germany,Poland,615261.85,2009,DEU,POL
Greece,Poland,70498.57,2009,GRC,POL
India,Poland,532840.4,2009,IND,POL
Indonesia,Poland,117871.27,2009,IDN,POL
Italy,Poland,439556.19,2009,ITA,POL
Japan,Poland,1478857.16,2009,JPN,POL
Mexico,Poland,230316.16,2009,MEX,POL
Netherlands,Poland,131838.67,2009,NLD,POL
Poland,Poland,151052.54,2009,POL,POL
RoW Africa,Poland,306593.92,2009,RoW Africa,POL
RoW America,Poland,317394.59,2009,RoW America,POL
RoW Asia and Pacific,Poland,520397.08,2009,RoW Asia and Pacific,POL
RoW EU27,Poland,266589.32,2009,RoW EU27,POL
RoW Europe,Poland,401506.21,2009,RoW Europe,POL
RoW Middle East,Poland,767873.88,2009,RoW Middle East,POL
Russia,Poland,419540.77,2009,RUS,POL
Slovakia,Poland,61690.36,2009,SVK,POL
South Korea,Poland,810162.53,2009,KOR,POL
Spain,Poland,279811.21,2009,ESP,POL
Sweden,Poland,80033.59,2009,SWE,POL
Taiwan,Poland,212646.22,2009,TWN,POL
United Kingdom,Poland,170097.3,2009,GBR,POL
United States,Poland,1204806.68,2009,USA,POL
Australia,RoW Africa,211132.08,2009,AUS,RoW Africa
Austria,RoW Africa,148029.51,2009,AUT,RoW Africa
Belgium,RoW Africa,316015.45,2009,BEL,RoW Africa
Brazil,RoW Africa,457287.03,2009,BRA,RoW Africa
Canada,RoW Africa,364873.41,2009,CAN,RoW Africa
China,RoW Africa,13653236.62,2009,CHN,RoW Africa
Czech Republic,RoW Africa,154542.6,2009,CZE,RoW Africa
Finland,RoW Africa,78925.47,2009,FIN,RoW Africa
France,RoW Africa,466986.09,2009,FRA,RoW Africa
Germany,RoW Africa,1106212.53,2009,DEU,RoW Africa
Greece,RoW Africa,126753.18,2009,GRC,RoW Africa
India,RoW Africa,958022.55,2009,IND,RoW Africa
Indonesia,RoW Africa,211927.12,2009,IDN,RoW Africa
Italy,RoW Africa,790301.84,2009,ITA,RoW Africa
Japan,RoW Africa,2658917.21,2009,JPN,RoW Africa
Mexico,RoW Africa,414097.87,2009,MEX,RoW Africa
Netherlands,RoW Africa,237039.87,2009,NLD,RoW Africa
Poland,RoW Africa,271585.53,2009,POL,RoW Africa
RoW Africa,RoW Africa,551241.78,2009,RoW Africa,RoW Africa
RoW America,RoW Africa,570660.89,2009,RoW America,RoW Africa
RoW Asia and Pacific,RoW Africa,935650.04,2009,RoW Asia and Pacific,RoW Africa
RoW EU27,RoW Africa,479315.35,2009,RoW EU27,RoW Africa
RoW Europe,RoW Africa,721889.72,2009,RoW Europe,RoW Africa
RoW Middle East,RoW Africa,1380601.94,2009,RoW Middle East,RoW Africa
Russia,RoW Africa,754315.03,2009,RUS,RoW Africa
Slovakia,RoW Africa,110916.43,2009,SVK,RoW Africa
South Korea,RoW Africa,1456635.01,2009,KOR,RoW Africa
Spain,RoW Africa,503087.7,2009,ESP,RoW Africa
Sweden,RoW Africa,143896.72,2009,SWE,RoW Africa
Taiwan,RoW Africa,382328.12,2009,TWN,RoW Africa
United Kingdom,RoW Africa,305827.13,2009,GBR,RoW Africa
United States,RoW Africa,2166187.04,2009,USA,RoW Africa
Australia,RoW America,235471.04,2009,AUS,RoW America
Austria,RoW America,165094.11,2009,AUT,RoW America
Belgium,RoW America,352445.2,2009,BEL,RoW America
Brazil,RoW America,510002.33,2009,BRA,RoW America
Canada,RoW America,406935.43,2009,CAN,RoW America
China,RoW America,15227159.52,2009,CHN,RoW America
Czech Republic,RoW America,172358.02,2009,CZE,RoW America
Finland,RoW America,88023.87,2009,FIN,RoW America
France,RoW America,520819.48,2009,FRA,RoW America
Germany,RoW America,1233734.91,2009,DEU,RoW America
Greece,RoW America,141365.08,2009,GRC,RoW America
India,RoW America,1068461.83,2009,IND,RoW America
Indonesia,RoW America,236357.73,2009,IDN,RoW America
Italy,RoW America,881406.55,2009,ITA,RoW America
Japan,RoW America,2965432.86,2009,JPN,RoW America
Mexico,RoW America,461834.4,2009,MEX,RoW America
Netherlands,RoW America,264365.44,2009,NLD,RoW America
Poland,RoW America,302893.47,2009,POL,RoW America
RoW Africa,RoW America,614788.03,2009,RoW Africa,RoW America
RoW America,RoW America,636445.75,2009,RoW America,RoW America
RoW Asia and Pacific,RoW America,1043510.26,2009,RoW Asia and Pacific,RoW America
RoW EU27,RoW America,534570.05,2009,RoW EU27,RoW America
RoW Europe,RoW America,805107.99,2009,RoW Europe,RoW America
RoW Middle East,RoW America,1539755.49,2009,RoW Middle East,RoW America
Russia,RoW America,841271.24,2009,RUS,RoW America
Slovakia,RoW America,123702.69,2009,SVK,RoW America
South Korea,RoW America,1624553.52,2009,KOR,RoW America
Spain,RoW America,561082.83,2009,ESP,RoW America
Sweden,RoW America,160484.9,2009,SWE,RoW America
Taiwan,RoW America,426402.29,2009,TWN,RoW America
United Kingdom,RoW America,341082.38,2009,GBR,RoW America
United States,RoW America,2415901.56,2009,USA,RoW America
Australia,RoW Asia and Pacific,393186.97,2009,AUS,RoW Asia and Pacific
Austria,RoW Asia and Pacific,275672.35,2009,AUT,RoW Asia and Pacific
Belgium,RoW Asia and Pacific,588509.14,2009,BEL,RoW Asia and Pacific
Brazil,RoW Asia and Pacific,851596.32,2009,BRA,RoW Asia and Pacific
Canada,RoW Asia and Pacific,679496.33,2009,CAN,RoW Asia and Pacific
China,RoW Asia and Pacific,25426144.63,2009,CHN,RoW Asia and Pacific
Czech Republic,RoW Asia and Pacific,287801.53,2009,CZE,RoW Asia and Pacific
Finland,RoW Asia and Pacific,146981.29,2009,FIN,RoW Asia and Pacific
France,RoW Asia and Pacific,869658.68,2009,FRA,RoW Asia and Pacific
Germany,RoW Asia and Pacific,2060077.07,2009,DEU,RoW Asia and Pacific
Greece,RoW Asia and Pacific,236049.87,2009,GRC,RoW Asia and Pacific
India,RoW Asia and Pacific,1784105.89,2009,IND,RoW Asia and Pacific
Indonesia,RoW Asia and Pacific,394667.56,2009,IDN,RoW Asia and Pacific
Italy,RoW Asia and Pacific,1471763.02,2009,ITA,RoW Asia and Pacific
Japan,RoW Asia and Pacific,4951647.4,2009,JPN,RoW Asia and Pacific
Mexico,RoW Asia and Pacific,771166.03,2009,MEX,RoW Asia and Pacific
Netherlands,RoW Asia and Pacific,441434.52,2009,NLD,RoW Asia and Pacific
Poland,RoW Asia and Pacific,505768.21,2009,POL,RoW Asia and Pacific
RoW Africa,RoW Asia and Pacific,1026566.34,2009,RoW Africa,RoW Asia and Pacific
RoW America,RoW Asia and Pacific,1062730.16,2009,RoW America,RoW Asia and Pacific
RoW Asia and Pacific,RoW Asia and Pacific,1742442.02,2009,RoW Asia and Pacific,RoW Asia and Pacific
RoW EU27,RoW Asia and Pacific,892619.22,2009,RoW EU27,RoW Asia and Pacific
RoW Europe,RoW Asia and Pacific,1344360.53,2009,RoW Europe,RoW Asia and Pacific
RoW Middle East,RoW Asia and Pacific,2571066.89,2009,RoW Middle East,RoW Asia and Pacific
Russia,RoW Asia and Pacific,1404745.52,2009,RUS,RoW Asia and Pacific
Slovakia,RoW Asia and Pacific,206557.4,2009,SVK,RoW Asia and Pacific
South Korea,RoW Asia and Pacific,2712661.72,2009,KOR,RoW Asia and Pacific
Spain,RoW Asia and Pacific,936889.98,2009,ESP,RoW Asia and Pacific
Sweden,RoW Asia and Pacific,267975.94,2009,SWE,RoW Asia and Pacific
Taiwan,RoW Asia and Pacific,712001.88,2009,TWN,RoW Asia and Pacific
United Kingdom,RoW Asia and Pacific,569535.63,2009,GBR,RoW Asia and Pacific
United States,RoW Asia and Pacific,4034046.03,2009,USA,RoW Asia and Pacific
Australia,RoW EU27,196755.96,2009,AUS,RoW EU27
Austria,RoW EU27,137950.09,2009,AUT,RoW EU27
Belgium,RoW EU27,294497.76,2009,BEL,RoW EU27
Brazil,RoW EU27,426150.07,2009,BRA,RoW EU27
Canada,RoW EU27,340028.95,2009,CAN,RoW EU27
China,RoW EU27,12723579.17,2009,CHN,RoW EU27
Czech Republic,RoW EU27,144019.69,2009,CZE,RoW EU27
Finland,RoW EU27,73551.38,2009,FIN,RoW EU27
France,RoW EU27,435188.71,2009,FRA,RoW EU27
Germany,RoW EU27,1030889.82,2009,DEU,RoW EU27
Greece,RoW EU27,118122.48,2009,GRC,RoW EU27
India,RoW EU27,892790.19,2009,IND,RoW EU27
Indonesia,RoW EU27,197496.87,2009,IDN,RoW EU27
Italy,RoW EU27,736489.69,2009,ITA,RoW EU27
Japan,RoW EU27,2477869.87,2009,JPN,RoW EU27
Mexico,RoW EU27,385901.68,2009,MEX,RoW EU27
Netherlands,RoW EU27,220899.67,2009,NLD,RoW EU27
Poland,RoW EU27,253093.1,2009,POL,RoW EU27
RoW Africa,RoW EU27,513707.38,2009,RoW Africa,RoW EU27
RoW America,RoW EU27,531804.23,2009,RoW America,RoW EU27
RoW Asia and Pacific,RoW EU27,871941.04,2009,RoW Asia and Pacific,RoW EU27
RoW EU27,RoW EU27,446678.47,2009,RoW EU27,RoW EU27
RoW Europe,RoW EU27,672735.79,2009,RoW Europe,RoW EU27
RoW Middle East,RoW EU27,1286595.89,2009,RoW Middle East,RoW EU27
Russia,RoW EU27,702953.24,2009,RUS,RoW EU27
Slovakia,RoW EU27,103364.06,2009,SVK,RoW EU27
South Korea,RoW EU27,1357451.81,2009,KOR,RoW EU27
Spain,RoW EU27,468832.14,2009,ESP,RoW EU27
Sweden,RoW EU27,134098.7,2009,SWE,RoW EU27
Taiwan,RoW EU27,356295.16,2009,TWN,RoW EU27
United Kingdom,RoW EU27,285003.17,2009,GBR,RoW EU27
United States,RoW EU27,2018690.0,2009,USA,RoW EU27
Australia,RoW Europe,268719.95,2009,AUS,RoW Europe
Austria,RoW Europe,188405.68,2009,AUT,RoW Europe
Belgium,RoW Europe,402211.06,2009,BEL,RoW Europe
Brazil,RoW Europe,582015.52,2009,BRA,RoW Europe
Canada,RoW Europe,464395.4,2009,CAN,RoW Europe
China,RoW Europe,17377260.15,2009,CHN,RoW Europe
Czech Republic,RoW Europe,196695.26,2009,CZE,RoW Europe
Finland,RoW Europe,100452.99,2009,FIN,RoW Europe
France,RoW Europe,594360.07,2009,FRA,RoW Europe
Germany,RoW Europe,1407940.36,2009,DEU,RoW Europe
Greece,RoW Europe,161326.07,2009,GRC,RoW Europe
India,RoW Europe,1219330.45,2009,IND,RoW Europe
Indonesia,RoW Europe,269731.85,2009,IDN,RoW Europe
Italy,RoW Europe,1005862.64,2009,ITA,RoW Europe
Japan,RoW Europe,3384156.99,2009,JPN,RoW Europe
Mexico,RoW Europe,527046.19,2009,MEX,RoW Europe
Netherlands,RoW Europe,301694.28,2009,NLD,RoW Europe
Poland,RoW Europe,345662.54,2009,POL,RoW Europe
RoW Africa,RoW Europe,701597.14,2009,RoW Africa,RoW Europe
RoW America,RoW Europe,726312.97,2009,RoW America,RoW Europe
RoW Asia and Pacific,RoW Europe,1190855.66,2009,RoW Asia and Pacific,RoW Europe
RoW EU27,RoW Europe,610052.24,2009,RoW EU27,RoW Europe
RoW Europe,RoW Europe,918790.6,2009,RoW Europe,RoW Europe
RoW Middle East,RoW Europe,1757171.56,2009,RoW Middle East,RoW Europe
Russia,RoW Europe,960060.15,2009,RUS,RoW Europe
Slovakia,RoW Europe,141169.72,2009,SVK,RoW Europe
South Korea,RoW Europe,1853943.22,2009,KOR,RoW Europe
Spain,RoW Europe,640308.67,2009,ESP,RoW Europe
Sweden,RoW Europe,183145.64,2009,SWE,RoW Europe
Taiwan,RoW Europe,486611.01,2009,TWN,RoW Europe
United Kingdom,RoW Europe,389243.79,2009,GBR,RoW Europe
United States,RoW Europe,2757030.93,2009,USA,RoW Europe
Australia,RoW Middle East,532039.37,2009,AUS,RoW Middle East
Austria,RoW Middle East,373024.94,2009,AUT,RoW Middle East
Belgium,RoW Middle East,796338.8,2009,BEL,RoW Middle East
Brazil,RoW Middle East,1152334.16,2009,BRA,RoW Middle East
Canada,RoW Middle East,919457.74,2009,CAN,RoW Middle East
China,RoW Middle East,34405285.99,2009,CHN,RoW Middle East
Czech Republic,RoW Middle East,389437.49,2009,CZE,RoW Middle East
Finland,RoW Middle East,198887.15,2009,FIN,RoW Middle East
France,RoW Middle East,1176775.17,2009,FRA,RoW Middle East
Germany,RoW Middle East,2787585.06,2009,DEU,RoW Middle East
Greece,RoW Middle East,319409.94,2009,GRC,RoW Middle East
India,RoW Middle East,2414155.76,2009,IND,RoW Middle East
Indonesia,RoW Middle East,534042.84,2009,IDN,RoW Middle East
Italy,RoW Middle East,1991510.25,2009,ITA,RoW Middle East
Japan,RoW Middle East,6700301.88,2009,JPN,RoW Middle East
Mexico,RoW Middle East,1043500.23,2009,MEX,RoW Middle East
Netherlands,RoW Middle East,597325.35,2009,NLD,RoW Middle East
Poland,RoW Middle East,684378.23,2009,POL,RoW Middle East
RoW Africa,RoW Middle East,1389094.14,2009,RoW Africa,RoW Middle East
RoW America,RoW Middle East,1438029.07,2009,RoW America,RoW Middle East
RoW Asia and Pacific,RoW Middle East,2357778.46,2009,RoW Asia and Pacific,RoW Middle East
RoW EU27,RoW Middle East,1207844.14,2009,RoW EU27,RoW Middle East
RoW Europe,RoW Middle East,1819116.07,2009,RoW Europe,RoW Middle East
RoW Middle East,RoW Middle East,3479028.89,2009,RoW Middle East,RoW Middle East
Russia,RoW Middle East,1900825.78,2009,RUS,RoW Middle East
Slovakia,RoW Middle East,279502.32,2009,SVK,RoW Middle East
South Korea,RoW Middle East,3670627.36,2009,KOR,RoW Middle East
Spain,RoW Middle East,1267748.93,2009,ESP,RoW Middle East
Sweden,RoW Middle East,362610.57,2009,SWE,RoW Middle East
Taiwan,RoW Middle East,963442.5,2009,TWN,RoW Middle East
United Kingdom,RoW Middle East,770664.87,2009,GBR,RoW Middle East
United States,RoW Middle East,5458653.26,2009,USA,RoW Middle East
Australia,Russia,331776.7,2009,AUS,RUS
Austria,Russia,232616.21,2009,AUT,RUS
Belgium,Russia,496592.3,2009,BEL,RUS
Brazil,Russia,718588.96,2009,BRA,RUS
Canada,Russia,573368.56,2009,CAN,RUS
China,Russia,21454938.65,2009,CHN,RUS
Czech Republic,Russia,242850.98,2009,CZE,RUS
Finland,Russia,124024.88,2009,FIN,RUS
France,Russia,733830.24,2009,FRA,RUS
Germany,Russia,1738322.02,2009,DEU,RUS
Greece,Russia,199182.2,2009,GRC,RUS
India,Russia,1505453.66,2009,IND,RUS
Indonesia,Russia,333026.04,2009,IDN,RUS
Italy,Russia,1241894.35,2009,ITA,RUS
Japan,Russia,4178269.75,2009,JPN,RUS
Mexico,Russia,650720.75,2009,MEX,RUS
Netherlands,Russia,372488.66,2009,NLD,RUS
Poland,Russia,426774.33,2009,POL,RUS
RoW Africa,Russia,866231.13,2009,RoW Africa,RUS
RoW America,Russia,896746.67,2009,RoW America,RUS
RoW Asia and Pacific,Russia,1470297.1,2009,RoW Asia and Pacific,RUS
RoW EU27,Russia,753204.66,2009,RoW EU27,RUS
RoW Europe,Russia,1134390.33,2009,RoW Europe,RUS
RoW Middle East,Russia,2169502.43,2009,RoW Middle East,RUS
Russia,Russia,1185344.04,2009,RUS,RUS
Slovakia,Russia,174296.04,2009,SVK,RUS
South Korea,Russia,2288982.13,2009,KOR,RUS
Spain,Russia,790560.95,2009,ESP,RUS
Sweden,Russia,226121.87,2009,SWE,RUS
Taiwan,Russia,600797.21,2009,TWN,RUS
United Kingdom,Russia,480582.18,2009,GBR,RUS
United States,Russia,3403984.81,2009,USA,RUS
Australia,Slovakia,48068.24,2009,AUS,SVK
Austria,Slovakia,33701.74,2009,AUT,SVK
Belgium,Slovakia,71946.94,2009,BEL,SVK
Brazil,Slovakia,104110.1,2009,BRA,SVK
Canada,Slovakia,83070.38,2009,CAN,SVK
China,Slovakia,3108419.45,2009,CHN,SVK
Czech Republic,Slovakia,35184.57,2009,CZE,SVK
Finland,Slovakia,17968.89,2009,FIN,SVK
France,Slovakia,106318.28,2009,FRA,SVK
Germany,Slovakia,251850.36,2009,DEU,SVK
Greece,Slovakia,28857.78,2009,GRC,SVK
India,Slovakia,218112.09,2009,IND,SVK
Indonesia,Slovakia,48249.25,2009,IDN,SVK
Italy,Slovakia,179927.27,2009,ITA,SVK
Japan,Slovakia,605353.16,2009,JPN,SVK
Mexico,Slovakia,94277.27,2009,MEX,SVK
Netherlands,Slovakia,53966.64,2009,NLD,SVK
