exporter,importer,tonnes,year,exp_ISO3,imp_ISO3
Greece,Brazil,118305.97,2008,GRC,BRA
India,Brazil,941274.65,2008,IND,BRA
Indonesia,Brazil,188777.86,2008,IDN,BRA
Italy,Brazil,765965.59,2008,ITA,BRA
Japan,Brazil,2587081.67,2008,JPN,BRA
Mexico,Brazil,393344.81,2008,MEX,BRA
Netherlands,Brazil,234881.43,2008,NLD,BRA
Poland,Brazil,263282.39,2008,POL,BRA
RoW Africa,Brazil,492664.06,2008,RoW Africa,BRA
RoW America,Brazil,520382.22,2008,RoW America,BRA
RoW Asia and Pacific,Brazil,882549.43,2008,RoW Asia and Pacific,BRA
RoW EU27,Brazil,449689.88,2008,RoW EU27,BRA
RoW Europe,Brazil,655954.53,2008,RoW Europe,BRA
RoW Middle East,Brazil,1244002.92,2008,RoW Middle East,BRA
Russia,Brazil,750404.01,2008,RUS,BRA
Slovakia,Brazil,107911.3,2008,SVK,BRA
South Korea,Brazil,1359943.8,2008,KOR,BRA
Spain,Brazil,480636.18,2008,ESP,BRA
Sweden,Brazil,144927.33,2008,SWE,BRA
Taiwan,Brazil,334357.25,2008,TWN,BRA
United Kingdom,Brazil,297666.8,2008,GBR,BRA
United States,Brazil,2029453.57,2008,USA,BRA
Australia,Canada,159455.79,2008,AUS,CAN
Austria,Canada,117617.76,2008,AUT,CAN
Belgium,Canada,254830.39,2008,BEL,CAN
Brazil,Canada,351407.99,2008,BRA,CAN
Canada,Canada,281593.21,2008,CAN,CAN
China,Canada,10138637.2,2008,CHN,CAN
Czech Republic,Canada,123140.65,2008,CZE,CAN
Finland,Canada,63583.77,2008,FIN,CAN
France,Canada,372251.58,2008,FRA,CAN
Germany,Canada,878523.81,2008,DEU,CAN
Greece,Canada,95969.69,2008,GRC,CAN
India,Canada,763561.15,2008,IND,CAN
Indonesia,Canada,153136.43,2008,IDN,CAN
Italy,Canada,621350.6,2008,ITA,CAN
Japan,Canada,2098638.32,2008,JPN,CAN
Mexico,Canada,319080.95,2008,MEX,CAN
Netherlands,Canada,190535.6,2008,NLD,CAN
Poland,Canada,213574.44,2008,POL,CAN
RoW Africa,Canada,399648.65,2008,RoW Africa,CAN
RoW America,Canada,422133.59,2008,RoW America,CAN
