exporter,importer,tonnes,year,yearly_share,total_source_1,exp_ISO3,imp_ISO3
Australia,Australia,59730.74500949148,2008,4.6168771794417915e-05,1293747758.2350001,AUS,AUS
Austria,Australia,69442.75801211782,2008,5.367565475580444e-05,1293747758.2350001,AUT,AUS
Belgium,Australia,84682.31277066011,2008,6.545504116365639e-05,1293747758.2350001,BEL,AUS
Brazil,Australia,144441.30188112732,2008,0.00011164564418506268,1293747758.2350001,BRA,AUS
Canada,Australia,121811.05192142131,2008,9.415363323033113e-05,1293747758.2350001,CAN,AUS
China,Australia,3610716.4192675333,2008,0.0027908967542432427,1293747758.2350001,CHN,AUS
Czech Republic,Australia,39971.06029129595,2008,3.0895559073916083e-05,1293747758.2350001,CZE,AUS
Finland,Australia,38728.99481058526,2008,2.9935506797261177e-05,1293747758.2350001,FIN,AUS
France,Australia,160930.97257888128,2008,0.00012439130545697092,1293747758.2350001,FRA,AUS
Germany,Australia,380290.3382880888,2008,0.0002939447321685807,1293747758.2350001,DEU,AUS
Greece,Australia,15206.02754417524,2008,1.1753471607881366e-05,1293747758.2350001,GRC,AUS
India,Australia,281068.91587265645,2008,0.00021725171238642818,1293747758.2350001,IND,AUS
Indonesia,Australia,30209.167580472393,2008,2.335012168189984e-05,1293747758.2350001,IDN,AUS
Italy,Australia,227380.88673896407,2008,0.000175753646946735,1293747758.2350001,ITA,AUS
Japan,Australia,924569.8723023137,2008,0.0007146446178686804,1293747758.2350001,JPN,AUS
Mexico,Australia,100240.20425712358,2008,7.748048537210733e-05,1293747758.2350001,MEX,AUS
Netherlands,Australia,68830.46296452578,2008,5.320238240136391e-05,1293747758.2350001,NLD,AUS
Poland,Australia,62742.37121935551,2008,4.849660285011972e-05,1293747758.2350001,POL,AUS
RoW Africa,Australia,45522.667518432136,2008,3.5186663883025077e-05,1293747758.2350001,RoW Africa,AUS
RoW America,Australia,56524.017901381834,2008,4.3690137850746826e-05,1293747758.2350001,RoW America,AUS
RoW Asia and Pacific,Australia,203141.79682717565,2008,0.00015701808604817415,1293747758.2350001,RoW Asia and Pacific,AUS
RoW EU27,Australia,65293.62410573313,2008,5.0468589174454055e-05,1293747758.2350001,RoW EU27,AUS
RoW Europe,Australia,136192.0608697475,2008,0.00010526940820021053,1293747758.2350001,RoW Europe,AUS
RoW Middle East,Australia,87544.92572999277,2008,6.76676926956969e-05,1293747758.2350001,RoW Middle East,AUS
Russia,Australia,248531.68700452286,2008,0.0001921021199245076,1293747758.2350001,RUS,AUS
Slovakia,Australia,42913.69309004303,2008,3.3170061796735544e-05,1293747758.2350001,SVK,AUS
South Korea,Australia,437701.61857421766,2008,0.00033832067788187214,1293747758.2350001,KOR,AUS
Spain,Australia,120603.34201780449,2008,9.322013603512482e-05,1293747758.2350001,ESP,AUS
Sweden,Australia,43267.02967717903,2008,3.344317267548833e-05,1293747758.2350001,SWE,AUS
Taiwan,Australia,129601.38611814227,2008,0.00010017515801917324,1293747758.2350001,TWN,AUS
United Kingdom,Australia,91408.15177520765,2008,7.06537663106072e-05,1293747758.2350001,GBR,AUS
United States,Australia,565731.0729017743,2008,0.0004372808140541823,1293747758.2350001,USA,AUS
Australia,Austria,60988.62915027505,2008,4.7141051075890555e-05,1293747758.2350001,AUS,AUT
Austria,Austria,70905.1741141928,2008,5.480602664844454e-05,1293747758.2350001,AUT,AUT
Belgium,Austria,86465.66113720047,2008,6.683347707219338e-05,1293747758.2350001,BEL,AUT
Brazil,Austria,147483.12344639035,2008,0.00011399681468634559,1293747758.2350001,BRA,AUT
Canada,Austria,124376.30106987272,2008,9.61364379402315e-05,1293747758.2350001,CAN,AUT
China,Austria,3686755.337633314,2008,0.0028496708992663167,1293747758.2350001,CHN,AUT
Czech Republic,Austria,40812.824086267916,2008,3.154619888342605e-05,1293747758.2350001,CZE,AUT
Finland,Austria,39544.60075144913,2008,3.056592794054228e-05,1293747758.2350001,FIN,AUT
France,Austria,164320.05607128335,2008,0.00012701089143950098,1293747758.2350001,FRA,AUT
Germany,Austria,388298.9614033872,2008,0.00030013498298395153,1293747758.2350001,DEU,AUT
Greece,Austria,15526.25416631774,2008,1.2000990198815484e-05,1293747758.2350001,GRC,AUT
India,Austria,286988.00934950745,2008,0.00022182686503050008,1293747758.2350001,IND,AUT
Indonesia,Austria,30845.35015469892,2008,2.384185785703683e-05,1293747758.2350001,IDN,AUT
Italy,Austria,232169.35713395756,2008,0.0001794548865156647,1293747758.2350001,ITA,AUT
Japan,Austria,944040.5995573003,2008,0.0007296944814383377,1293747758.2350001,JPN,AUT
Mexico,Austria,102351.18542218658,2008,7.911216446227473e-05,1293747758.2350001,MEX,AUT
Netherlands,Austria,70279.98115214257,2008,5.4322784874249584e-05,1293747758.2350001,NLD,AUT
Poland,Austria,64063.677264915365,2008,4.951790397868164e-05,1293747758.2350001,POL,AUT
RoW Africa,Austria,46481.334770234396,2008,3.592766400897708e-05,1293747758.2350001,RoW Africa,AUT
RoW America,Austria,57714.37513987603,2008,4.461022233469457e-05,1293747758.2350001,RoW America,AUT
RoW Asia and Pacific,Austria,207419.80556579877,2008,0.00016032476519903073,1293747758.2350001,RoW Asia and Pacific,AUT
RoW EU27,Austria,66668.65714415493,2008,5.153141848539926e-05,1293747758.2350001,RoW EU27,AUT
RoW Europe,Austria,139060.1655671582,2008,0.00010748630456130916,1293747758.2350001,RoW Europe,AUT
RoW Middle East,Austria,89388.55435896755,2008,6.909272212453237e-05,1293747758.2350001,RoW Middle East,AUT
Russia,Austria,253765.57724177788,2008,0.00019614764595841962,1293747758.2350001,RUS,AUT
Slovakia,Austria,43817.424553004144,2008,3.386859940362889e-05,1293747758.2350001,SVK,AUT
South Korea,Austria,446919.276973496,2008,0.00034544545034281425,1293747758.2350001,KOR,AUT
Spain,Austria,123143.1573625313,2008,9.518328173223642e-05,1293747758.2350001,ESP,AUT
Sweden,Austria,44178.19799662127,2008,3.414745858720677e-05,1293747758.2350001,SWE,AUT
Taiwan,Austria,132330.6940386529,2008,0.00010228477166150649,1293747758.2350001,TWN,AUT
United Kingdom,Austria,93333.13789600023,2008,7.214168086623801e-05,1293747758.2350001,GBR,AUT
United States,Austria,577644.9353925898,2008,0.0004464896126124646,1293747758.2350001,USA,AUT
Australia,Belgium,106951.59907012283,2008,8.26680459072114e-05,1293747758.2350001,AUS,BEL
Austria,Belgium,124341.55892350631,2008,9.610958406075981e-05,1293747758.2350001,AUT,BEL
Belgium,Belgium,151628.925493807,2008,0.00011720130491330651,1293747758.2350001,BEL,BEL
Brazil,Belgium,258631.09150638932,2008,0.0001999084364476331,1293747758.2350001,BRA,BEL
Canada,Belgium,218110.2253972074,2008,0.00016858790595684976,1293747758.2350001,CAN,BEL
China,Belgium,6465211.166164139,2008,0.004997273328600256,1293747758.2350001,CHN,BEL
Czech Republic,Belgium,71570.66232088949,2008,5.532041455942696e-05,1293747758.2350001,CZE,BEL
Finland,Belgium,69346.66179978216,2008,5.36013773615257e-05,1293747758.2350001,FIN,BEL
France,Belgium,288156.8659732245,2008,0.00022273033065297327,1293747758.2350001,FRA,BEL
Germany,Belgium,680933.3794921045,2008,0.0005263262294816033,1293747758.2350001,DEU,BEL
Greece,Belgium,27227.33174867424,2008,2.1045317045278766e-05,1293747758.2350001,GRC,BEL
India,Belgium,503271.2776846206,2008,0.0003890026278161132,1293747758.2350001,IND,BEL
Indonesia,Belgium,54091.38042147,2008,4.180983509124248e-05,1293747758.2350001,IDN,BEL
Italy,Belgium,407139.5500640435,2008,0.0003146977820618488,1293747758.2350001,ITA,BEL
Japan,Belgium,1655499.5627834767,2008,0.0012796154058979763,1293747758.2350001,JPN,BEL
Mexico,Belgium,179486.28538844825,2008,0.0001387336010794817,1293747758.2350001,MEX,BEL
Netherlands,Belgium,123245.20551445993,2008,9.526215966750553e-05,1293747758.2350001,NLD,BEL
Poland,Belgium,112344.09929350039,2008,8.683616924427851e-05,1293747758.2350001,POL,BEL
RoW Africa,Belgium,81511.15003562355,2008,6.300389663810928e-05,1293747758.2350001,RoW Africa,BEL
RoW America,Belgium,101209.75680875877,2008,7.82298992709634e-05,1293747758.2350001,RoW America,BEL
RoW Asia and Pacific,Belgium,363737.9574639015,2008,0.0002811505992173716,1293747758.2350001,RoW Asia and Pacific,BEL
RoW EU27,Belgium,116912.27429131139,2008,9.03671318826549e-05,1293747758.2350001,RoW EU27,BEL
RoW Europe,Belgium,243860.316419006,2008,0.00018849139244244434,1293747758.2350001,RoW Europe,BEL
RoW Middle East,Belgium,156754.6131508739,2008,0.00012116319595770887,1293747758.2350001,RoW Middle East,BEL
Russia,Belgium,445011.367396917,2008,0.0003439707350712826,1293747758.2350001,RUS,BEL
Slovakia,Belgium,76839.62604960172,2008,5.9393050585401934e-05,1293747758.2350001,SVK,BEL
South Korea,Belgium,783731.8316986327,2008,0.0006057841079994152,1293747758.2350001,KOR,BEL
Spain,Belgium,215947.75075063488,2008,0.0001669164250728769,1293747758.2350001,ESP,BEL
Sweden,Belgium,77472.29268425427,2008,5.988206912137657e-05,1293747758.2350001,SWE,BEL
Taiwan,Belgium,232059.3014756693,2008,0.00017936981919277448,1293747758.2350001,TWN,BEL
United Kingdom,Belgium,163671.95120981027,2008,0.00012650993995390593,1293747758.2350001,GBR,BEL
United States,Belgium,1012976.4854848642,2008,0.0007829783503291406,1293747758.2350001,USA,BEL
Australia,Brazil,109381.97235858125,2008,8.45465985640091e-05,1293747758.2350001,AUS,BRA
Austria,Brazil,127167.11032083734,2008,9.829358892519011e-05,1293747758.2350001,AUT,BRA
Belgium,Brazil,155074.55241234237,2008,0.0001198645960352452,1293747758.2350001,BEL,BRA
Brazil,Brazil,264508.24528518046,2008,0.00020445117187761297,1293747758.2350001,BRA,BRA
Canada,Brazil,223066.577304844,2008,0.00017241890923866282,1293747758.2350001,CAN,BRA
China,Brazil,6612127.174079662,2008,0.005110831792358257,1293747758.2350001,CHN,BRA
Czech Republic,Brazil,73197.03901870047,2008,5.6577519499287694e-05,1293747758.2350001,CZE,BRA
Finland,Brazil,70922.50223523463,2008,5.4819420388400047e-05,1293747758.2350001,FIN,BRA
France,Brazil,294704.96901668946,2008,0.0002277916751088649,1293747758.2350001,FRA,BRA
Germany,Brazil,696406.9681970547,2008,0.0005382865120068925,1293747758.2350001,DEU,BRA
Greece,Brazil,27846.045073394387,2008,2.15235503954677e-05,1293747758.2350001,GRC,BRA
India,Brazil,514707.65962763503,2008,0.0003978423586448001,1293747758.2350001,IND,BRA
Indonesia,Brazil,55320.560259762904,2008,4.275992743379449e-05,1293747758.2350001,IDN,BRA
Italy,Brazil,416391.42291195097,2008,0.00032184900051924684,1293747758.2350001,ITA,BRA
Japan,Brazil,1693119.275590456,2008,0.0013086934951680998,1293747758.2350001,JPN,BRA
Mexico,Brazil,183564.94710284803,2008,0.0001418861953069408,1293747758.2350001,MEX,BRA
Netherlands,Brazil,126045.83853376306,2008,9.742690391651115e-05,1293747758.2350001,NLD,BRA
Poland,Brazil,114897.01504135193,2008,8.88094408743947e-05,1293747758.2350001,POL,BRA
RoW Africa,Brazil,83363.41204501824,2008,6.443559922279367e-05,1293747758.2350001,RoW Africa,BRA
RoW America,Brazil,103509.65376370684,2008,8.000760048073069e-05,1293747758.2350001,RoW America,BRA
RoW Asia and Pacific,Brazil,372003.5693771722,2008,0.00028753948906136027,1293747758.2350001,RoW Asia and Pacific,BRA
RoW EU27,Brazil,119568.99922888867,2008,9.242064263903429e-05,1293747758.2350001,RoW EU27,BRA
RoW Europe,Brazil,249401.81762087456,2008,0.00019277468581752123,1293747758.2350001,RoW Europe,BRA
RoW Middle East,Brazil,160316.7140048256,2008,0.00012391651539828615,1293747758.2350001,RoW Middle East,BRA
Russia,Brazil,455123.84162180725,2008,0.00035178715381328394,1293747758.2350001,RUS,BRA
Slovakia,Brazil,78585.73490955468,2008,6.074270228438157e-05,1293747758.2350001,SVK,BRA
South Korea,Brazil,801541.4217013814,2008,0.0006195499985212628,1293747758.2350001,KOR,BRA
Spain,Brazil,220854.96540851833,2008,0.00017070944780597764,1293747758.2350001,ESP,BRA
Sweden,Brazil,79232.78437555354,2008,6.124283800394534e-05,1293747758.2350001,SWE,BRA
Taiwan,Brazil,237332.63405076318,2008,0.00018344583211069292,1293747758.2350001,TWN,BRA
United Kingdom,Brazil,167391.24462921853,2008,0.00012938476110488695,1293747758.2350001,GBR,BRA
United States,Brazil,1035995.4523241734,2008,0.000800770819295976,1293747758.2350001,USA,BRA
Australia,Canada,120906.81116878368,2008,9.345470196889942e-05,1293747758.2350001,AUS,CAN
Austria,Canada,140565.84674765595,2008,0.00010865011811840615,1293747758.2350001,AUT,CAN
Belgium,Canada,171413.71267063642,2008,0.00013249392053400592,1293747758.2350001,BEL,CAN
Brazil,Canada,292377.69313961366,2008,0.00022599281141054184,1293747758.2350001,BRA,CAN
Canada,Canada,246569.5963695872,2008,0.0001905855255014862,1293747758.2350001,CAN,CAN
China,Canada,7308802.3109034905,2008,0.005649325584822307,1293747758.2350001,CHN,CAN
Czech Republic,Canada,80909.31690247069,2008,6.253871080159513e-05,1293747758.2350001,CZE,CAN
Finland,Canada,78395.12557809467,2008,6.0595371144871e-05,1293747758.2350001,FIN,CAN
France,Canada,325756.03538457816,2008,0.0002517925409424415,1293747758.2350001,FRA,CAN
Germany,Canada,769782.6635798676,2008,0.0005950021236211039,1293747758.2350001,DEU,CAN
Greece,Canada,30779.995403559973,2008,2.3791342019832126e-05,1293747758.2350001,GRC,CAN
India,Canada,568938.9229015803,2008,0.00043976031593496805,1293747758.2350001,IND,CAN
Indonesia,Canada,61149.3131112248,2008,4.72652514541536e-05,1293747758.2350001,IDN,CAN
Italy,Canada,460263.77098175586,2008,0.00035576005295628285,1293747758.2350001,ITA,CAN
Japan,Canada,1871511.8031064018,2008,0.001446581678069625,1293747758.2350001,JPN,CAN
Mexico,Canada,202905.94661878882,2008,0.0001568357860543109,1293747758.2350001,MEX,CAN
Netherlands,Canada,139326.43816369137,2008,0.00010769211948530675,1293747758.2350001,NLD,CAN
Poland,Canada,127002.94110041457,2008,9.81666946218935e-05,1293747758.2350001,POL,CAN
RoW Africa,Canada,92146.85497491814,2008,7.122474561859709e-05,1293747758.2350001,RoW Africa,CAN
RoW America,Canada,114415.76697714873,2008,8.843746104978055e-05,1293747758.2350001,RoW America,CAN
RoW Asia and Pacific,Canada,411199.07353144273,2008,0.00031783558341575216,1293747758.2350001,RoW Asia and Pacific,CAN
RoW EU27,Canada,132167.17523637123,2008,0.0001021583800977408,1293747758.2350001,RoW EU27,CAN
RoW Europe,Canada,275679.6002437622,2008,0.00021308605057593222,1293747758.2350001,RoW Europe,CAN
RoW Middle East,Canada,177208.20198530742,2008,0.00013697276061530288,1293747758.2350001,RoW Middle East,CAN
Russia,Canada,503077.1646856269,2008,0.0003888525885230918,1293747758.2350001,RUS,CAN
Slovakia,Canada,86865.7787423332,2008,6.714274725456541e-05,1293747758.2350001,SVK,CAN
South Korea,Canada,885994.4191251665,2008,0.0006848277908004938,1293747758.2350001,KOR,CAN
