exporter,importer,tonnes,year,yearly_share,total_source_1,exp_ISO3,imp_ISO3
Spain,Canada,244124.96297018643,2008,0.00018869595051761463,1293747758.2350001,ESP,CAN
Sweden,Canada,87581.00552876254,2008,6.769558051118499e-05,1293747758.2350001,SWE,CAN
Taiwan,Canada,262338.769439561,2008,0.00020277427942944426,1293747758.2350001,TWN,CAN
United Kingdom,Canada,185028.13020744795,2008,0.00014301716005280134,1293747758.2350001,GBR,CAN
United States,Canada,1145151.287794343,2008,0.0008851426257593053,1293747758.2350001,USA,CAN
Australia,China,3685327.356876596,2008,0.0028485671441118602,1293747758.2350001,AUS,CHN
Austria,China,4284548.895520429,2008,0.0033117343533531143,1293747758.2350001,AUT,CHN
Belgium,China,5224814.210474006,2008,0.004038510735355381,1293747758.2350001,BEL,CHN
Brazil,China,8911884.013006495,2008,0.00688842469969924,1293747758.2350001,BRA,CHN
Canada,China,7515620.08698349,2008,0.005809185012414399,1293747758.2350001,CAN,CHN
China,China,222777593.49356458,2008,0.17219553972212456,1293747758.2350001,CHN,CHN
Czech Republic,China,2466174.5916794506,2008,0.0019062252096528752,1293747758.2350001,CZE,CHN
Finland,China,2389540.344361928,2008,0.0018469909061885963,1293747758.2350001,FIN,CHN
France,China,9929280.181800356,2008,0.007674819236283286,1293747758.2350001,FRA,CHN
Germany,China,23463533.725674886,2008,0.018136096141094068,1293747758.2350001,DEU,CHN
Greece,China,938196.6416477857,2008,0.0007251774046957373,1293747758.2350001,GRC,CHN
India,China,17341670.926830888,2008,0.013404213314726299,1293747758.2350001,IND,CHN
Indonesia,China,1863875.317344129,2008,0.0014406790701511456,1293747758.2350001,IDN,CHN
Italy,China,14029173.483307676,2008,0.010843824380764165,1293747758.2350001,ITA,CHN
Japan,China,57045036.6725448,2008,0.04409285837168807,1293747758.2350001,JPN,CHN
Mexico,China,6184720.355434526,2008,0.004780468461543116,1293747758.2350001,MEX,CHN
Netherlands,China,4246770.848848237,2008,0.003282533880206995,1293747758.2350001,NLD,CHN
Poland,China,3871141.6830800944,2008,0.0029921919929440594,1293747758.2350001,POL,CHN
RoW Africa,China,2808702.886036025,2008,0.0021709818379649273,1293747758.2350001,RoW Africa,CHN
RoW America,China,3487475.5703274147,2008,0.002695637961982029,1293747758.2350001,RoW America,CHN
RoW Asia and Pacific,China,12533645.814737927,2008,0.009687858962427883,1293747758.2350001,RoW Asia and Pacific,CHN
RoW EU27,China,4028551.3286592453,2008,0.0031138614950376496,1293747758.2350001,RoW EU27,CHN
RoW Europe,China,8402914.133594852,2008,0.006495017347940032,1293747758.2350001,RoW Europe,CHN
RoW Middle East,China,5401434.557180175,2008,0.004175029114291259,1293747758.2350001,RoW Middle East,CHN
Russia,China,15334156.74564715,2008,0.011852508843429282,1293747758.2350001,RUS,CHN
Slovakia,China,2647731.998645749,2008,0.0020465596804263657,1293747758.2350001,SVK,CHN
South Korea,China,27005752.340176955,2008,0.020874047640491875,1293747758.2350001,KOR,CHN
Spain,China,7441105.797828581,2008,0.0057515893267943785,1293747758.2350001,ESP,CHN
Sweden,China,2669532.4991380335,2008,0.0020634103380244326,1293747758.2350001,SWE,CHN
Taiwan,China,7996275.963877287,2008,0.006180707106914128,1293747758.2350001,TWN,CHN
United Kingdom,China,5639791.520034889,2008,0.004359266699506397,1293747758.2350001,GBR,CHN
United States,China,34905041.4483867,2008,0.026979788931967716,1293747758.2350001,USA,CHN
Australia,Czech Republic,43251.10670476278,2008,3.3430865042632615e-05,1293747758.2350001,AUS,CZE
Austria,Czech Republic,50283.58718273238,2008,3.886660816427766e-05,1293747758.2350001,AUT,CZE
Belgium,Czech Republic,61318.56909239248,2008,4.739607756000795e-05,1293747758.2350001,BEL,CZE
Brazil,Czech Republic,104590.12715247835,2008,8.084275044090959e-05,1293747758.2350001,BRA,CZE
Canada,Czech Republic,88203.53545804645,2008,6.81767638989987e-05,1293747758.2350001,CAN,CZE
China,Czech Republic,2614524.2254902753,2008,0.0020208917919650343,1293747758.2350001,CHN,CZE
Czech Republic,Czech Republic,28943.09798874343,2008,2.237151547085898e-05,1293747758.2350001,CZE,CZE
Finland,Czech Republic,28043.716964103376,2008,2.1676340527431804e-05,1293747758.2350001,FIN,CZE
France,Czech Republic,116530.31930596751,2008,9.007190046454218e-05,1293747758.2350001,FRA,CZE
Germany,Czech Republic,275368.70650834223,2008,0.00021284574582298405,1293747758.2350001,DEU,CZE
Greece,Czech Republic,11010.70167773289,2008,8.510702034184993e-06,1293747758.2350001,GRC,CZE
India,Czech Republic,203522.34666389396,2008,0.00015731223135918707,1293747758.2350001,IND,CZE
Indonesia,Czech Republic,21874.494759862657,2008,1.6907851333945508e-05,1293747758.2350001,IDN,CZE
Italy,Czech Republic,164646.78073881654,2008,0.0001272634326829184,1293747758.2350001,ITA,CZE
Japan,Czech Republic,669482.1851963298,2008,0.0005174750494715239,1293747758.2350001,JPN,CZE
Mexico,Czech Republic,72584.05673684613,2008,5.6103715948361666e-05,1293747758.2350001,MEX,CZE
Netherlands,Czech Republic,49840.222907237454,2008,3.852391054592601e-05,1293747758.2350001,NLD,CZE
Poland,Czech Republic,45431.82987540696,2008,3.511645109042546e-05,1293747758.2350001,POL,CZE
RoW Africa,Czech Republic,32963.01958177875,2008,2.5478706627286194e-05,1293747758.2350001,RoW Africa,CZE
RoW America,Czech Republic,40929.1139410783,2008,3.163608491729175e-05,1293747758.2350001,RoW America,CZE
RoW Asia and Pacific,Czech Republic,147095.22879349388,2008,0.000113696992212894,1293747758.2350001,RoW Asia and Pacific,CZE
RoW EU27,Czech Republic,47279.195340682905,2008,3.6544368900150764e-05,1293747758.2350001,RoW EU27,CZE
RoW Europe,Czech Republic,98616.84034523032,2008,7.622570915969639e-05,1293747758.2350001,RoW Europe,CZE
RoW Middle East,Czech Republic,63391.39034783823,2008,4.899826101675349e-05,1293747758.2350001,RoW Middle East,CZE
Russia,Czech Republic,179962.10307477537,2008,0.00013910138350329535,1293747758.2350001,RUS,CZE
Slovakia,Czech Republic,31073.861682927807,2008,2.4018485431287187e-05,1293747758.2350001,SVK,CZE
South Korea,Czech Republic,316940.28630833083,2008,0.0002449784235689944,1293747758.2350001,KOR,CZE
Spain,Czech Republic,87329.0298592929,2008,6.750081637121585e-05,1293747758.2350001,ESP,CZE
Sweden,Czech Republic,31329.70918114299,2008,2.421624229431296e-05,1293747758.2350001,SWE,CZE
Taiwan,Czech Republic,93844.52609142066,2008,7.25369574510014e-05,1293747758.2350001,TWN,CZE
United Kingdom,Czech Republic,66188.7528683753,2008,5.1160477339627275e-05,1293747758.2350001,GBR,CZE
United States,Czech Republic,409646.56838080694,2008,0.0003166355773552556,1293747758.2350001,USA,CZE
Australia,Finland,33475.59202909756,2008,2.587489857742189e-05,1293747758.2350001,AUS,FIN
Austria,Finland,38918.610106773034,2008,3.0082069598998095e-05,1293747758.2350001,AUT,FIN
Belgium,Finland,47459.49002218849,2008,3.6683727349553255e-05,1293747758.2350001,BEL,FIN
Brazil,Finland,80950.90684737913,2008,6.257085767461864e-05,1293747758.2350001,BRA,FIN
Canada,Finland,68267.97399288857,2008,5.2767607563643924e-05,1293747758.2350001,CAN,FIN
China,Finland,2023595.5242813344,2008,0.00156413451648568,1293747758.2350001,CHN,FIN
Czech Republic,Finland,22401.443902507588,2008,1.731515572484457e-05,1293747758.2350001,CZE,FIN
Finland,Finland,21705.336955018167,2008,1.6777101113303374e-05,1293747758.2350001,FIN,FIN
France,Finland,90192.40368513022,2008,6.971405601365101e-05,1293747758.2350001,FRA,FIN
Germany,Finland,213130.5075246532,2008,0.00016473884199453008,1293747758.2350001,DEU,FIN
Greece,Finland,8522.091421566281,2008,6.587135218067991e-06,1293747758.2350001,GRC,FIN
India,Finland,157522.69561529692,2008,0.00012175688391545335,1293747758.2350001,IND,FIN
Indonesia,Finland,16930.47011680573,2008,1.3086376389090856e-05,1293747758.2350001,IDN,FIN
Italy,Finland,127433.69585440066,2008,9.849964573330162e-05,1293747758.2350001,ITA,FIN
Japan,Finland,518167.37484854716,2008,0.0004005165392946913,1293747758.2350001,JPN,FIN
Mexico,Finland,56178.774724888244,2008,4.3423282759175816e-05,1293747758.2350001,MEX,FIN
Netherlands,Finland,38575.45317714708,2008,2.9816827068186595e-05,1293747758.2350001,NLD,FIN
Poland,Finland,35163.43324124135,2008,2.7179512402953406e-05,1293747758.2350001,POL,FIN
RoW Africa,Finland,25512.792712644852,2008,1.9720067184851216e-05,1293747758.2350001,RoW Africa,FIN
RoW America,Finland,31678.41307302879,2008,2.4485772339614467e-05,1293747758.2350001,RoW America,FIN
RoW Asia and Pacific,Finland,113849.10551177624,2008,8.799946109054154e-05,1293747758.2350001,RoW Asia and Pacific,FIN
RoW EU27,Finland,36593.260940039734,2008,2.8284695147964716e-05,1293747758.2350001,RoW EU27,FIN
RoW Europe,Finland,76327.6917483836,2008,5.899735188914563e-05,1293747758.2350001,RoW Europe,FIN
RoW Middle East,Finland,49063.813863404444,2008,3.7923786573620754e-05,1293747758.2350001,RoW Middle East,FIN
Russia,Finland,139287.4867074685,2008,0.00010766201202736145,1293747758.2350001,RUS,FIN
Slovakia,Finland,24050.61591535763,2008,1.8589880262415888e-05,1293747758.2350001,SVK,FIN
South Korea,Finland,245306.17753858425,2008,0.00018960896819117512,1293747758.2350001,KOR,FIN
Spain,Finland,67591.12801280362,2008,5.2244440682173665e-05,1293747758.2350001,ESP,FIN
Sweden,Finland,24248.64369523816,2008,1.8742945478274263e-05,1293747758.2350001,SWE,FIN
Taiwan,Finland,72634.00394126553,2008,5.6142322550074776e-05,1293747758.2350001,TWN,FIN
United Kingdom,Finland,51228.926998662515,2008,3.9597306872671805e-05,1293747758.2350001,GBR,FIN
United States,Finland,317059.20237978635,2008,0.0002450703395322868,1293747758.2350001,USA,FIN
Australia,France,147263.90185274265,2008,0.00011382736775030083,1293747758.2350001,AUS,FRA
Austria,France,171208.50574712313,2008,0.0001323353062120045,1293747758.2350001,AUT,FRA
Belgium,France,208781.05710285378,2008,0.00016137694212331162,1293747758.2350001,BEL,FRA
Brazil,France,356114.58437679376,2008,0.00027525812671754836,1293747758.2350001,BRA,FRA
Canada,France,300320.5503904198,2008,0.00023213222861938183,1293747758.2350001,CAN,FRA
China,France,8902085.132365914,2008,0.006880850672553523,1293747758.2350001,CHN,FRA
Czech Republic,France,98547.14742781069,2008,7.617184014467703e-05,1293747758.2350001,CZE,FRA
Finland,France,95484.8806432448,2008,7.380486654795088e-05,1293747758.2350001,FIN,FRA
France,France,396769.2464064138,2008,0.0003066820745241001,1293747758.2350001,FRA,FRA
Germany,France,937591.4827916848,2008,0.0007247096482476594,1293747758.2350001,DEU,FRA
Greece,France,37489.88689161047,2008,2.897774056262418e-05,1293747758.2350001,GRC,FRA
India,France,692964.8019939114,2008,0.0005356258958386842,1293747758.2350001,IND,FRA
Indonesia,France,74479.55928058279,2008,5.7568841226199914e-05,1293747758.2350001,IDN,FRA
Italy,France,560599.0037837005,2008,0.0004333139904709861,1293747758.2350001,ITA,FRA
Japan,France,2279492.1352021857,2008,0.0017619293410888616,1293747758.2350001,JPN,FRA
Mexico,France,247138.44225815055,2008,0.00019102521390669696,1293747758.2350001,MEX,FRA
Netherlands,France,169698.9159217587,2008,0.00013116847147489632,1293747758.2350001,NLD,FRA
Poland,France,154688.95263100028,2008,0.00011956654737862906,1293747758.2350001,POL,FRA
RoW Africa,France,112234.41179642407,2008,8.67513864909341e-05,1293747758.2350001,RoW Africa,FRA
RoW America,France,139357.8423150696,2008,0.00010771639326756323,1293747758.2350001,RoW America,FRA
RoW Asia and Pacific,France,500838.4377160421,2008,0.00038712216854335863,1293747758.2350001,RoW Asia and Pacific,FRA
RoW EU27,France,160978.96852887748,2008,0.00012442840384009135,1293747758.2350001,RoW EU27,FRA
RoW Europe,France,335776.3956742418,2008,0.0002595377603840844,1293747758.2350001,RoW Europe,FRA
RoW Middle East,France,215838.7198077198,2008,0.00016683214980188916,1293747758.2350001,RoW Middle East,FRA
Russia,France,612745.5051068929,2008,0.00047362053476547323,1293747758.2350001,RUS,FRA
Slovakia,France,105802.09545411321,2008,8.177953915719559e-05,1293747758.2350001,SVK,FRA
South Korea,France,1079136.8285797185,2008,0.0008341168683854839,1293747758.2350001,KOR,FRA
Spain,France,297342.99750072055,2008,0.00022983073447514356,1293747758.2350001,ESP,FRA
Sweden,France,106673.23237777753,2008,8.245288287363439e-05,1293747758.2350001,SWE,FRA
Taiwan,France,319527.33060052886,2008,0.00024697807479600594,1293747758.2350001,TWN,FRA
United Kingdom,France,225363.34488949063,2008,0.00017419419160729087,1293747758.2350001,GBR,FRA
United States,France,1394788.612006473,2008,0.0010780993459724468,1293747758.2350001,USA,FRA
